ped,type,time(s),x(cm),y(cm),density(m-2)
1,0,6.80680022031447,193.888,-176.99,0.686363213819173
1,0,6.8401668880615,193.016,-176.723,0.678659393018048
1,0,6.87353355580854,191.129,-176.079,0.680984965728303
1,0,6.90690022355557,190.872,-175.289,0.681214039211368
1,0,6.9402668913026,189.823,-175.019,0.671786800257453
1,0,6.97363355904963,189.443,-173.046,0.696972777358372
1,0,7.00700022679666,187.606,-172.771,0.691453201106777
1,0,7.04036689453642,186.035,-171.971,0.699698126469363
1,0,7.07373356228345,184.725,-171.437,0.702545597316945
1,0,7.10710023003048,183.287,-170.507,0.713938356626881
1,0,7.14046689777751,182.113,-169.317,0.733941397464273
1,0,7.17383356552455,180.935,-168.652,0.737439293462946
1,0,7.20720023327158,179.493,-168.248,0.745455428881552
1,0,7.24056690101861,178.713,-167.191,0.76390511919055
1,0,7.27393356876564,177.827,-166.805,0.76607187775777
1,0,7.30730023651267,176.62,-165.863,0.786239514394287
1,0,7.34066690425971,175.171,-166.51,0.764855628793257
1,0,7.37403357200674,175.633,-166.025,0.758805635704836
1,0,7.40740023975377,174.52,-165.586,0.773218092959516
1,0,7.4407669075008,173.732,-165.58,0.763950955060175
1,0,7.47413357524783,174.004,-164.269,0.799199313225886
1,0,7.50750024299487,173.218,-164,0.811651681021986
1,0,7.5408669107419,172.428,-164.258,0.799810548730312
1,0,7.57423357848893,172.644,-163.366,0.825063436512828
1,0,7.60760024623596,171.125,-162.672,0.857504421626639
1,0,7.64096691397572,170.865,-162.408,0.859918933196072
1,0,7.67433358172275,171.66,-161.362,0.882961855328948
1,0,7.70770024946978,170.481,-160.96,0.920138628047131
1,0,7.74106691721681,170.35,-160.828,0.910764821519042
1,0,7.77443358496384,170.356,-160.04,0.954651926997269
1,0,7.80780025271088,171.412,-159.259,0.968349408363736
1,0,7.84116692045791,171.153,-158.732,1.00305114108385
1,0,7.87453358820494,171.684,-157.947,1.01962451460755
1,0,7.90790025595197,171.689,-157.159,1.06474668508464
1,0,7.941266923699,171.695,-156.371,1.09610637801966
1,0,7.97463359144604,172.552,-155.104,1.12575170052429
1,0,8.00800025919307,173.025,-154.016,1.16173215762233
1,0,8.0413669269401,173.561,-152.443,1.1999242768674
1,0,8.07473359468713,174.355,-151.661,1.22295676419094
1,0,8.10810026243416,174.366,-150.085,1.26230227882105
1,0,8.1414669301812,175.159,-149.302,1.28210847653921
1,0,8.17483359792823,176.219,-147.996,1.30375172425283
1,0,8.20820026567526,177.018,-146.425,1.32274375421569
1,0,8.24156693342229,177.812,-145.643,1.34761195976196
1,0,8.27493360116205,178.493,-143.744,1.37490036684284
1,0,8.30830026890908,179.405,-143.289,1.38362455666303
1,0,8.34166693665611,180.202,-141.981,1.39620502059016
1,0,8.37503360440314,180.465,-141.983,1.36633303287631
1,0,8.40840027215017,182.05,-140.681,1.38988852915622
1,0,8.44176693989721,182.263,-139.709,1.40616694885267
1,0,8.47513360764424,183.112,-139.112,1.41430041937045
1,0,8.50850027539127,183.38,-138.325,1.42054796249369
1,0,8.5418669431383,182.465,-137.662,1.44679912093626
1,0,8.57523361088533,183.654,-136.751,1.43766241759456
1,0,8.60860027863237,184.014,-136.14,1.4448681889734
1,0,8.6419669463794,182.869,-136.22,1.46891262016468
1,0,8.67533361412643,182.741,-135.825,1.44684225593148
1,0,8.70870028187346,182.875,-135.432,1.47636529252599
1,0,8.74206694962049,182.616,-134.905,1.49641002899673
1,0,8.77543361736753,183.674,-133.861,1.48254281054658
1,0,8.80880028511456,182.357,-134.378,1.49752000177616
1,0,8.84216695286159,182.62,-134.379,1.48917715071056
1,0,8.87553362060135,183.147,-134.12,1.47487270503689
1,0,8.90890028834838,181.832,-134.374,1.4919529055466
1,0,8.94226695609541,183.15,-133.595,1.47342187139443
1,0,8.97563362384244,180.909,-134.762,1.4918882489585
1,0,9.00900029158947,181.038,-135.157,1.48215836561262
1,0,9.0423669593365,180.252,-134.888,1.48149346800056
1,0,9.07573362708354,179.855,-135.28,1.47680452842942
1,0,9.10910029483057,180.773,-135.417,1.45628228695621
1,0,9.1424669625776,179.193,-135.932,1.46251373280485
1,0,9.17583363032463,178.538,-135.796,1.47097245878885
1,0,9.20920029807166,177.75,-135.79,1.47188375828726
1,0,9.2425669658187,178.409,-135.401,1.45965793586329
1,0,9.27593363356573,176.306,-135.649,1.4846381473558
1,0,9.30930030131276,176.835,-135.127,1.47331754897489
1,0,9.34266696905979,176.047,-135.122,1.47658960300699
1,0,9.37603363680682,174.998,-134.852,1.47353139113198
1,0,9.40940030455386,173.959,-135.812,1.46992692145523
1,0,9.44276697230089,172.892,-135.362,1.47138113933631
1,0,9.47613364004064,172.104,-135.357,1.46965577496568
1,0,9.50950030778768,171.502,-135.116,1.4603815534117
1,0,9.54286697553471,170.789,-135.61,1.44057591191439
1,0,9.57623364328174,170.003,-135.342,1.40552587285174
1,0,9.60960031102877,169.475,-135.601,1.3724216949838
1,0,9.6429669787758,168.948,-135.86,1.39884310270705
1,0,9.67633364652283,168.687,-135.596,1.36120664360517
1,0,9.70970031426987,168.16,-135.855,1.37174704350545
1,0,9.7430669820169,167.635,-135.851,1.36740400635555
1,0,9.77643364976393,167.636,-135.588,1.35061752886492
1,0,9.80980031751096,167.109,-135.847,1.3305161286953
1,0,9.84316698525799,166.586,-135.581,1.29143681081908
1,0,9.87653365300503,166.586,-135.581,1.30161503980036
1,0,9.90990032075206,165.803,-134.787,1.32358449626496
1,0,9.94326698849909,165.279,-134.521,1.28707877031029
1,0,9.97663365624612,165.283,-133.996,1.33169673007165
1,0,10.0100003239932,165.289,-133.208,1.30727225600539
1,0,10.0433669917402,163.45,-133.195,1.35619724525917
1,0,10.0767336594872,163.586,-132.539,1.36016488853384
1,0,10.110100327227,163.457,-132.144,1.33695202944648
1,0,10.143466994974,163.723,-131.62,1.36202088633442
1,0,10.176833662721,163.681,-130.201,1.41411843782844
1,0,10.2102003304681,163.472,-130.042,1.40810494137609
1,0,10.2435669982151,162.956,-128.725,1.44076869238785
1,0,10.2769336659621,163.745,-128.468,1.42241150720506
1,0,10.3103003337092,164.015,-127.419,1.43696271608809
1,0,10.3436670014562,164.629,-125.893,1.43403609411295
1,0,10.3770336692032,165.024,-125.182,1.43674968951671
1,0,10.4104003369503,165.353,-124.013,1.4394513339365
1,0,10.4437670046973,166.047,-122.389,1.44663103332828
1,0,10.4771336724443,166.685,-121.395,1.46481095425675
1,0,10.5105003401914,166.955,-120.346,1.47042829260038
1,0,10.5438670079384,168.015,-119.04,1.46096085712971
1,0,10.5772336756854,168.547,-117.993,1.47946519624691
1,0,10.6106003434325,169.082,-116.683,1.47471757276818
1,0,10.6439670111795,170.463,-115.093,1.49226099236315
1,0,10.6773336789265,170.544,-114.197,1.49637909466598
1,0,10.7107003466663,171.737,-112.761,1.49892871930846
1,0,10.7440670144133,172.269,-111.714,1.4987772908307
1,0,10.7774336821603,172.672,-110.534,1.49031235413023
1,0,10.8108003499074,173.467,-109.489,1.51776564261398
1,0,10.8441670176544,174.916,-108.842,1.50850636134812
1,0,10.8775336854014,175.447,-108.058,1.48403398917503
1,0,10.9109003531485,175.714,-107.534,1.48423944109294
1,0,10.9442670208955,175.982,-106.748,1.49844866572303
1,0,10.9776336886425,176.511,-106.226,1.50540453060059
1,0,11.0110003563896,175.725,-105.958,1.52524505230771
1,0,11.0443670241366,176.125,-105.041,1.53637512776307
1,0,11.0777336918836,175.861,-105.302,1.5329743497611
1,0,11.1111003596307,175.864,-104.777,1.54249689731639
1,0,11.1444670273777,175.6,-105.038,1.53698965984081
1,0,11.1778336951247,175.339,-104.773,1.55343379721739
1,0,11.2112003628718,175.282,-105.456,1.54463434305061
1,0,11.2445670306188,174.783,-105.374,1.56987965538006
1,0,11.2779336983658,174.55,-105.755,1.54811679485691
1,0,11.3113003661056,175.203,-105.429,1.5537144094256
1,0,11.3446670338526,174.933,-106.478,1.56222253978331
1,0,11.3780337015996,173.88,-106.733,1.56174199731386
1,0,11.4114003693467,172.435,-106.855,1.6081598224627
1,0,11.4447670370937,171.641,-107.637,1.61943681982946
1,0,11.4781337048407,171.015,-108.143,1.62069572700232
1,0,11.5115003725878,170.454,-108.286,1.61122172046626
1,0,11.5448670403348,170.711,-109.076,1.59569167781821
1,0,11.5782337080818,169.657,-109.594,1.6222206149717
1,0,11.6116003758289,168.604,-109.849,1.62968260717638
1,0,11.6449670435759,167.814,-110.106,1.6434694148396
1,0,11.6783337113229,166.76,-110.624,1.67117653683502
1,0,11.71170037907,164.528,-110.477,1.71299989786061
1,0,11.745067046817,163.736,-110.997,1.71761723037248
1,0,11.778433714564,162.683,-111.253,1.74182406488241
1,0,11.811800382311,161.627,-112.034,1.74344549663134
1,0,11.8451670500581,160.576,-112.026,1.76668663496789
1,0,11.8785337178051,160.179,-112.417,1.78317169217935
1,0,11.9119003855521,159.127,-112.673,1.80266081259496
1,0,11.9452670532919,158.072,-113.191,1.83497174164
1,0,11.9786337210389,157.914,-113.808,1.82479028237002
1,0,12.012000388786,157.15,-113.579,1.91278013755318
1,0,12.045367056533,156.489,-114.231,1.93312766951244
1,0,12.07873372428,156.198,-114.57,1.95119452699515
1,0,12.1121003920271,156.491,-113.968,2.01547182610431
1,0,12.1454670597741,155.699,-114.488,2.02021846204085
1,0,12.1788337275211,155.172,-114.747,2.0576167597013
1,0,12.2122003952682,154.643,-115.269,2.08661213046895
1,0,12.2455670630152,154.38,-115.267,2.09774651744725
1,0,12.2789337307622,154.248,-115.397,2.10433395400394
1,0,12.3123003985093,153.854,-115.263,2.14648509121426
1,0,12.3456670662563,153.594,-114.999,2.19407505574486
1,0,12.3790337340033,153.592,-115.261,2.18643996015871
1,0,12.4124004017503,153.724,-115.131,2.19305362743158
1,0,12.4457670694974,153.595,-114.736,2.2170226992188
1,0,12.4791337372444,154.387,-114.216,2.21277554329385
1,0,12.5125004049914,154.351,-113.87,2.23382776220004
1,0,12.5458670727312,154.391,-113.691,2.22252519617234
1,0,12.5792337404782,154.764,-112.958,2.24529430329173
1,0,12.6126004082253,154.27,-112.245,2.28225327898151
1,0,12.6459670759723,155.061,-111.725,2.26311449966749
1,0,12.6793337437193,154.677,-110.277,2.32995719600043
1,0,12.7127004114664,155.471,-109.495,2.28827601080722
1,0,12.7460670792134,155.872,-108.578,2.30855499069893
1,0,12.7794337469604,156.796,-107.928,2.29026986695968
1,0,12.8128004147075,157.067,-106.616,2.29091472608452
1,0,12.8461670824545,158.002,-104.389,2.31145488650818
1,0,12.8795337502015,159.189,-103.741,2.29211959410589
1,0,12.9129004179485,160.358,-101.858,2.29558354699753
1,0,12.9462670856956,160.786,-100.862,2.30459551747897
1,0,12.9796337534426,161.585,-99.2915,2.3021106634212
1,0,13.0130004211896,162.518,-97.3277,2.31327468086641
1,0,13.0463670889367,163.578,-96.0216,2.29477100043344
1,0,13.0797337566837,164.506,-94.8458,2.29668190831941
1,0,13.1131004244307,165.826,-93.8041,2.29110963885935
1,0,13.1464670921705,166.361,-92.4943,2.30730898316922
1,0,13.1798337599175,167.634,-90.8218,2.3050448678648
1,0,13.2132004276646,168.185,-89.445,2.30360310339592
1,0,13.2465670954116,169.006,-89.8856,2.27547817542714
1,0,13.2799337631586,169.541,-88.5758,2.25355085843697
1,0,13.3133004309057,170.595,-88.0577,2.22249895486626
1,0,13.3466670986527,171.652,-87.277,2.21907578854392
1,0,13.3800337663997,171.791,-87.2471,2.20396080200519
1,0,13.4134004341468,172.967,-87.0234,2.18745713368752
1,0,13.4467671018938,173.759,-86.5035,2.15514952718671
1,0,13.4801337696408,173.498,-86.2391,2.13958473173319
1,0,13.5135004373878,173.891,-86.3731,2.14507730897849
1,0,13.5468671051349,174.547,-86.5091,2.09993669887912
1,0,13.5802337728819,174.282,-86.77,2.07272988302965
1,0,13.6136004406289,174.936,-87.1686,2.06616257956688
1,0,13.646967108376,174.67,-87.6922,2.03918855474044
1,0,13.680333776123,174.538,-87.8226,2.04046774180661
1,0,13.71370044387,175.589,-87.8299,2.01046871173353
1,0,13.7470671116098,174.661,-89.0056,2.03517451964951
1,0,13.7804337793568,174.527,-89.3988,1.97003588755272
1,0,13.8138004471039,173.873,-90.3642,1.98228731290026
1,0,13.8471671148509,173.597,-90.8373,1.96438053672921
1,0,13.8805337825979,173.068,-91.3589,1.96887151418379
1,0,13.913900450345,172.539,-91.8807,1.95683484356584
1,0,13.947267118092,171.88,-92.2702,1.96404275718091
1,0,13.980633785839,171.088,-92.7901,1.948705773229
1,0,14.014000453586,170.296,-93.31,1.95325357762596
1,0,14.0473671213331,169.243,-93.5654,1.95227582598463
1,0,14.0807337890801,168.45,-94.3479,1.94094005465557
1,0,14.1141004568271,167.394,-95.1287,1.94183743789253
1,0,14.1474671245742,166.468,-96.0418,1.91945692136266
1,0,14.1808337923212,165.415,-96.2971,1.92195339029295
1,0,14.2142004600682,164.621,-97.0797,1.92135775679604
1,0,14.2475671278153,163.697,-97.73,1.91746690215966
1,0,14.2809337955623,162.114,-98.7698,1.93590811959578
1,0,14.3143004633093,160.931,-98.8929,1.91170104104105
1,0,14.3476671310564,160.141,-99.1501,1.94434929319799
1,0,14.3810337987961,158.956,-99.536,1.93758228131855
1,0,14.4144004665432,157.771,-99.9218,1.95181953107229
1,0,14.4477671342902,156.851,-100.047,1.92899471064193
1,0,14.4811338020372,155.533,-100.563,1.96240642505832
1,0,14.5145004697843,154.35,-100.686,1.99390474553242
1,0,14.5478671375313,153.43,-100.811,1.99325603596649
1,0,14.5812338052783,152.772,-100.938,2.00325238603246
1,0,14.6146004730253,151.459,-100.929,2.0295981174105
1,0,14.6479671407724,150.801,-101.055,1.99664845583678
1,0,14.6813338085194,150.143,-101.182,2.04675600565929
1,0,14.7147004762664,149.225,-101.044,2.07969844954373
1,0,14.7480671440135,148.832,-100.91,2.08404861057753
1,0,14.7814338117605,148.124,-101.243,2.08414963365838
1,0,14.8148004795075,147.779,-101.166,2.07775254239749
1,0,14.8481671472546,147.386,-101.031,2.09474598811696
1,0,14.8815338150016,146.861,-101.028,2.09860672147973
1,0,14.9149004827486,146.6,-100.763,2.11039206082807
1,0,14.9482671504957,146.074,-100.76,2.10842313668845
1,0,14.9816338182354,145.683,-100.363,2.18287446210042
1,0,15.0150004859825,145.422,-100.098,2.17849483721865
1,0,15.0483671537295,145.424,-99.8355,2.14250600751747
1,0,15.0817338214765,145.165,-99.3083,2.15673717586687
1,0,15.1151004892236,144.904,-99.0438,2.18027566786963
1,0,15.1484671569706,145.04,-98.3879,2.31108514625507
1,0,15.1818338247176,145.176,-97.7321,2.40117383104811
1,0,15.2152004924646,145.18,-97.2067,2.39578380950006
1,0,15.2485671602117,145.316,-96.5509,2.38999892528177
1,0,15.2819338279587,145.453,-95.6323,2.51021071231939
1,0,15.3153004957057,145.722,-94.8461,2.54678036915521
1,0,15.3486671634528,146.122,-93.9294,2.57844565848597
1,0,15.3820338311998,146.653,-93.1449,2.61752138569933
1,0,15.4154004989468,147.318,-91.9673,2.72818923361667
1,0,15.4487671666939,147.586,-91.1811,2.73980426967958
1,0,15.4821338344409,148.119,-90.1339,2.80404930842047
1,0,15.5155005021879,148.782,-89.2191,2.83831680207908
1,0,15.548867169935,149.317,-87.9092,2.85807852620485
1,0,15.5822338376747,149.588,-86.5975,2.87655418218592
1,0,15.6156005054218,149.993,-85.1554,2.93152662957819
1,0,15.6489671731688,150.395,-83.976,2.98058848996885
1,0,15.6823338409158,150.402,-82.9252,3.03151215612635
1,0,15.7157005086628,150.805,-81.7458,3.03761647841969
1,0,15.7490671764099,151.519,-80.989,3.05119483835649
1,0,15.7824338441569,151.874,-79.1262,3.09646892968538
1,0,15.8158005119039,151.881,-78.0753,3.13178732069786
1,0,15.849167179651,151.888,-77.0246,3.1381008590124
1,0,15.882533847398,152.084,-76.1,3.13600799352827
1,0,15.915900515145,152.279,-75.2577,3.1605083383066
1,0,15.9492671828921,152.173,-73.874,3.21300295707898
